Museum,Website,City,State,Zip Code,General Admission,Senior,Student,Children
Mexic-Arte Museum,mexic-artemuseum.org,Austin,Texas,78701,$10.00 ,,,
Art Museum of Southeast Texas,amset.org,Beaumont,Texas,77701,$0.00 ,,,
Dishman Art Museum,lamar.edu/dishman,Beaumont,Texas,77710,$0.00 ,,,
The Pearce Collections at Navarro College,pearcecollections.us,Corsicana,Texas,75110,$0.00 ,,,
Crow Collection of Asian Art,dma.org/crow-collection,Dallas,Texas,75201,$0.00 ,,,
Dallas Contemporary,dallascontemporary.org,Dallas,Texas,75226,$10.00 ,,,
Dallas Museum of Art,dma.org,Dallas,Texas,75201,$0.00 ,,,
Meadows Museum,meadowsmuseumdallas.org,Dallas,Texas,75205,$12.00 ,,,
Museum of Biblical Art,biblicalarts.org,Dallas,Texas,75229,$12.00 ,,,
Museum of Geometric and MADI Art,geometricmadimuseum.org,Dallas,Texas,75206,$10.00 ,,,
El Paso Museum of Art,epma.art,El Paso,Texas,79901,$0.00 ,,,
Amon Carter Museum,cartermuseum.org,Fort Worth,Texas,76107,$0.00 ,,,
Kimbell Art Museum,kimbellart.org,Fort Worth,Texas,76107,$0.00 ,,,
Modern Art Museum of Fort Worth,themodern.org,Fort Worth,Texas,76107,$16.00 ,,,
Sid Richardson Museum,sidrichardsonmuseum.org,Fort Worth,Texas,76107,$0.00 ,,,
ArtCar Museum,artcarmuseum.com,Houston,Texas,77007,$0.00 ,,,
Bayou Bend Collection and Gardens,mfah.org/visit/bayou-bend-collection-and-gardens,Houston,Texas,77007,$12.50 ,,,
Blaffer Art Museum,blafferartmuseum.org,Houston,Texas,77204,$0.00 ,,,
Lawndale Art Center,lawndaleartcenter.org,Houston,Texas,77006,$0.00 ,,,
"Museum of Fine Arts, Houston",mfah.org,Houston,Texas,77005,$19.00 ,,,
Menil Collection,menil.org,Houston,Texas,77006,$0.00 ,,,
Rothko Chapel,rothkochapel.org,Houston,Texas,77005,$0.00 ,,,
Station Museum of Contemporary Art,stationmuseum.com,Houston,Texas,77002,$0.00 ,,,
Irving Arts Center,cityofirving.org/101/Arts-Culture,Irving,Texas,75062,$0.00 ,,,
Museum of Western Art,museumofwesternart.com,Kerrville,Texas,78025,$1.00 ,,,
Chinati Foundation,chinati.org,Marfa,Texas,79830,$7.00 ,,,
International Museum of Art & Science,theimasonline.org,McAllen,Texas,78501,$7.00 ,,,
Stark Museum of Art,starkculturalvenues.org,Orange,Texas,77630,$6.00 ,,,
Artpace,artpace.org,San Antonio,Texas,78205,$0.00 ,,,
Blue Star Contemporary Art Center,bluestarart.org,San Antonio,Texas,78204,$0.00 ,,,
McNay Art Museum,mcnayart.org,San Antonio,Texas,78209,$20.00 ,,,
San Antonio Museum of Art,samuseum.org,San Antonio,Texas,78215,$20.00 ,,,
Tyler Museum of Art,tylermuseum.org,Tyler,Texas,75701,$8.00 ,,,
Brigham City Museum of Art & History,brighamcitymuseum.org,Brigham City,Utah,84302,$5.00 ,,,
Utah Museum of Contemporary Art,utahmoca.org,Salt Lake City,Utah,84101,$8.00 ,,,
Robert Hull Fleming Museum,flemingmuseum.org,Burlington,Vermont,05405,$10.00 ,,,
Middlebury College Museum of Art,museum.middlebury.edu,Middlebury,Vermont,05753,$0.00 ,,,
Shelburne Museum,shelburnemuseum.org,Shelburne,Vermont,05482,$25.00 ,,,
Fralin Museum of Art,uvafralinartmuseum.virginia.edu,Charlottesville,Virginia,22903,$0.00 ,,,
Chrysler Museum of Art,chrysler.org,Norfolk,Virginia,23510,$0.00 ,,,
Virginia Museum of Fine Arts,vmfa.museum,Richmond,Virginia,23220,$0.00 ,,,
Taubman Museum of Art,taubmanmuseum.org,Roanoke,Virginia,24011,$10.00 ,,,
Abby Aldrich Rockefeller Folk Art Museum,colonialwilliamsburg.org/art-museums/rockefeller-museum,Williamsburg,Virginia,23185,$13.50 ,,,
Seattle Art Museum,seattleartmuseum.org,Seattle,Washington,98101,$30.00 ,,,
Seattle Asian Art Museum,seattleartmuseum.org/visit/asian-art-museum,Seattle,Washington,98112,$30.00 ,,,
Frye Art Museum,fryemuseum.org,Seattle,Washington,98112,$0.00 ,,,
Maryhill Museum of Art,maryhillmuseum.org,Maryhill,Washington,98620,$12.00 ,,,
National Gallery of Art,nga.gov,Washington,District of Columbia,20565,$0.00 ,,,
Hirshhorn Museum and Sculpture Garden,hirshhorn.si.edu,Washington,District of Columbia,20560,$0.00 ,,,
National Museum of Women in the Arts,nmwa.org,Washington,District of Columbia,20005,$16.00 ,,,
Phillips Collection,phillipscollection.org,Washington,District of Columbia,20008,$20.00 ,,,
Dumbarton Oaks,doaks.org,Washington,District of Columbia,20007,$10.00 ,,,
Smithsonian American Art Museum,americanart.si.edu,Washington,District of Columbia,20001,$0.00 ,,,
National Portrait Gallery,npg.si.edu,Washington,District of Columbia,20001,$0.00 ,,,
Kreeger Museum,kreegermuseum.org,Washington,District of Columbia,20008,$10.00 ,,,
Freer Gallery of Art,asia.si.edu/freer-gallery-of-art,Washington,District of Columbia,20560,$0.00 ,,,
National Museum of Asian Art,asia.si.edu,Washington,District of Columbia,20560,$0.00 ,,,
Huntington Museum of Art,hmoa.org,Huntington,West Virginia,25701,$5.00 ,,,
Chazen Museum of Art,chazen.wisc.edu,Madison,Wisconsin,53706,$0.00 ,,,
Madison Museum of Contemporary Art,mmoca.org,Madison,Wisconsin,53703,$0.00 ,,,
Grohmann Museum,msoe.edu/grohmann-museum,Milwaukee,Wisconsin,53201,$5.00 ,,,
Patrick and Beatrice Haggerty Museum of Art,marquette.edu/haggerty,Milwaukee,Wisconsin,53211,$0.00 ,,,
Milwaukee Art Museum,mam.org,Milwaukee,Wisconsin,53202,$19.00 ,,,
Villa Terrace Decorative Arts Museum,villaterrace.org,Milwaukee,Wisconsin,53211,$10.00 ,,,
Museum of Wisconsin Art,wisconsinart.org,West Bend,Wisconsin,53095,$15.00 ,,,
National Museum of Wildlife Art,wildlifeart.org,Jackson Hole,Wyoming,83001,$20.00 ,,,
The Brinton Museum,thebrintonmuseum.org,Sheridan County,Wyoming,82831,$10.00 ,,,
