Museum,Website,City,State,Zip Code,General Admission,Senior,Student,Children
High Museum of Art,high.org,Atlanta,Georgia,30309,$25.00 ,,,
Telfair Museum of Art,telfair.org,Savannah,Georgia,31401,$20.00 ,,,
Hawaii State Art Museum,sfca.hawaii.gov/hisam,Honolulu,Hawaii,96813,$0.00 ,,,
Honolulu Museum of Art,honolulumuseum.org,Honolulu,Hawaii,96814,$20.00 ,,,
John Young Museum of Art,STILL TRYING TO FIND INFO,Honolulu,Hawaii,96822,$0.00 ,,,
Boise Art Museum,boiseartmuseum.org,Boise,Idaho,83702,$10.00 ,,,
Art Museum of Eastern Idaho,theartmuseum.org,Idaho Falls,Idaho,83402,$5.00 ,,,
Krannert Art Museum,kam.illinois.edu,Champaign,Illinois,61801,$0.00 ,,,
Art Institute of Chicago,artic.edu,Chicago,Illinois,60603,$35.00 ,,,
Museum of Contemporary Art,mcachicago.org,Chicago,Illinois,60611,$15.00 ,,,
National Museum of Mexican Art,nationalmuseumofmexicanart.org,Chicago,Illinois,60608,$0.00 ,,,
National Museum of Puerto Rican Arts and Culture,nmprac.org,Chicago,Illinois,60622,$0.00 ,,,
Oriental Institute,oi.uchicago.edu,Chicago,Illinois,60637,$10.00 ,,,
National Veterans Art Museum,nvam.org,Chicago,Illinois,60622,$10.00 ,,,
Smart Museum of Art,smartmuseum.uchicago.edu,Chicago,Illinois,60637,$0.00 ,,,
Ukrainian Institute of Modern Art,uima-chicago.org,Chicago,Illinois,60622,$10.00 ,,,
Mary and Leigh Block Museum of Art,blockmuseum.northwestern.edu,Evanston,Illinois,60208,$0.00 ,,,
Peoria Riverfront Museum,peoriariverfrontmuseum.org,Peoria,Illinois,61602,$12.00 ,,,
Illinois State Museum,illinoisstatemuseum.org,Springfield,Illinois,62703,$5.00 ,,,
"Sidney and Lois Eskenazi Museum of Art, Indiana University",artmuseum.indiana.edu,Bloomington,Indiana,47405,$0.00 ,,,
Indianapolis Museum of Art,discovernewfields.org,Indianapolis,Indiana,46208,$18.00 ,,,
Eiteljorg Museum of American Indians and Western Art,eiteljorg.org,Indianapolis,Indiana,46204,$15.00 ,,,
"David Owsley Museum of Art, Ball State University",bsu.edu/artmuseum,Muncie,Indiana,47306,$0.00 ,,,
Snite Museum of Art,sniteartmuseum.nd.edu,Notre Dame,Indiana,46556,$0.00 ,,,
Sheldon Swope Art Museum,swope.org,Terre Haute,Indiana,47807,$5.00 ,,,
Figge Art Museum,figgeartmuseum.org,Davenport,Iowa,52801,$12.00 ,,,
Des Moines Art Center,desmoinesartcenter.org,Des Moines,Iowa,50312,$10.00 ,,,
Stanley Museum of Art,stanleymuseum.uiowa.edu,Iowa City,Iowa,52242,$0.00 ,,,
Spencer Museum of Art,spencerart.ku.edu,Lawrence,Kansas,66045,$0.00 ,,,
Birger Sandzén Memorial Gallery,sandzen.org,Lindsborg,Kansas,67410,$5.00 ,,,
Marianna Kistler Beach Museum of Art,beach.k-state.edu,Manhattan,Kansas,66506,$0.00 ,,,
Nerman Museum of Contemporary Art,nermanmuseum.org,Overland Park,Kansas,66210,$0.00 ,,,
Wichita Art Museum,wichitaartmuseum.org,Wichita,Kansas,67203,$10.00 ,,,
Speed Art Museum,speedmuseum.org,Louisville,Kentucky,40208,$15.00 ,,,
Owensboro Museum of Fine Art,omfa.us,Owensboro,Kentucky,42303,$0.00 ,,,
LSU Museum of Art,www.lsumoa.org,Baton Rouge,Louisiana,70803,$5.00 ,,,
Ogden Museum of Southern Art,ogdenmuseum.org,New Orleans,Louisiana,70130,$13.50 ,,,
New Orleans Museum of Art,noma.org,New Orleans,Louisiana,70124,$15.00 ,,,
Paul and Lulu Hilliard University Art Museum,hilliardmuseum.org,Lafayette,Louisiana,70503,$5.00 ,,,
Bowdoin College Museum of Art,bowdoin.edu/art-museum,Brunswick,Maine,04011,$0.00 ,,,
Portland Museum of Art,portlandmuseum.org,Portland,Maine,04101,$18.00 ,,,
Ogunquit Museum of American Art,ogunquitmuseum.org,Ogunquit,Maine,03907,$10.00 ,,,
Farnsworth Art Museum,farnsworthmuseum.org,Rockland,Maine,04841,$15.00 ,,,
Center for Maine Contemporary Art,cmcanow.org,Rockland,Maine,04841,$8.00 ,,,
Colby College Museum of Art,colby.edu/museum,Waterville,Maine,04901,$0.00 ,,,
American Visionary Art Museum,avam.org,Baltimore,Maryland,21230,$15.95 ,,,
Baltimore Museum of Art,artbma.org,Baltimore,Maryland,21218,$0.00 ,,,
Walters Art Museum,thewalters.org,Baltimore,Maryland,21201,$0.00 ,,,
 Mead Art Museum,museums.fivecolleges.edu/mead,Amherst,Massachusetts,01002,$0.00 ,,,
University Museum of Contemporary Art,umass.edu/umca,Amherst,Massachusetts,01003,$5.00 ,,,
Eric Carle Museum of Picture Book Art,carlemuseum.org,Amherst,Massachusetts,01060,$9.00 ,,,
Addison Gallery of American Art,addison.andover.edu,Andover,Massachusetts,01810,$0.00 ,,,
Boston Museum of Fine Arts,mfa.org,Boston,Massachusetts,02115,$25.00 ,,,
Isabella Stewart Gardner Museum,gardnermuseum.org,Boston,Massachusetts,02115,$15.00 ,,,
"Institute of Contemporary Art, Boston",icaboston.org,Boston,Massachusetts,02210,$15.00 ,,,
McMullen Museum of Art,bc.edu/sites/artmuseum,Boston,Massachusetts,02467,$0.00 ,,,
