,ID,Museum,Website,City,State,ZIP Code,General Admission,Median Income,Monthly Median Income,Index
272,279,Rhode Island School of Design Museum,risdmuseum.org,Providence,Rhode Island,2903,15.0,57850.0,4820.8,31.1
321,330,San Antonio Museum of Art,samuseum.org,San Antonio,Texas,78215,20.0,77725.0,6477.1,30.9
13,14,"Museum of Contemporary Art, Los Angeles",moca.org,Los Angeles,California,90012,15.0,58444.0,4870.3,30.8
12,13,Los Angeles County Museum of Art,lacma.org,Los Angeles,California,90036,25.0,97583.0,8131.9,30.7
151,157,Walker Art Center,walkerart.org,Minneapolis,Minnesota,55403,15.0,58895.0,4907.9,30.6
135,141,Peabody Essex Museum,pem.org,Salem,Massachusetts,1970,20.0,79267.0,6605.6,30.3
320,329,McNay Art Museum,mcnayart.org,San Antonio,Texas,78209,20.0,79914.0,6659.5,30.0
271,278,National Museum of American Illustration,americanillustration.org,Newport,Rhode Island,2840,20.0,81307.0,6775.6,29.5
48,52,Bass Museum,thebass.org,Miami,Florida,33139,15.0,60971.0,5080.9,29.5
4,5,Anchorage Museum of Art and History,anchoragemuseum.org,Anchorage,Alaska,99501,18.0,73540.0,6128.3,29.4
259,266,Philadelphia Museum of Art,philamuseum.org,Philadelphia,Pennsylvania,19130,25.0,102279.0,8523.2,29.3
257,264,Barnes Foundation,barnesfoundation.org,Philadelphia,Pennsylvania,19130,25.0,102279.0,8523.2,29.3
239,246,Columbus Museum of Art,columbusmuseum.org,Columbus,Ohio,43215,18.0,75397.0,6283.1,28.6
15,16,Palm Springs Art Museum,psmuseum.org,Palm Springs,California,92262,15.0,63710.0,5309.2,28.3
44,47,Delaware Center for the Contemporary Arts,thedcca.org,Wilmington,Delaware,19801,10.0,42453.0,3537.8,28.3
327,336,Shelburne Museum,shelburnemuseum.org,Shelburne,Vermont,5482,25.0,106863.0,8905.2,28.1
21,22,San Diego Museum of Art,sdma.org,San Diego,California,92101,20.0,86403.0,7200.2,27.8
7,8,Tucson Museum of Art,tucsonmuseumofart.org,Tucson,Arizona,85701,12.0,52639.0,4386.6,27.4
186,192,Dia Beacon,diaart.org/visit/visit/dia-beacon,Beacon,New York,12508,20.0,87618.0,7301.5,27.4
62,68,High Museum of Art,high.org,Atlanta,Georgia,30309,25.0,110303.0,9191.9,27.2
